OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Uniq115160,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,
Uniq116070,Bacteria,Firmicutes,Negativicutes,,,,
Uniq116216,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,
Uniq14161,Bacteria,Firmicutes,,,,,
Uniq91826,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
Uniq99056,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia_coli
Uniq172,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,
Uniq100601,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Herbaspirillum,Herbaspirillum_huttiense
Uniq93803,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,
Uniq19489,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces
Uniq105321,Bacteria,Proteobacteria,,,,,
Uniq88912,Bacteria,Proteobacteria,,,,,
Uniq102142,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,
Uniq113542,Bacteria,Firmicutes,Negativicutes,,,,
Uniq43638,Bacteria,Cyanobacteria,Chloroplast,Capsicum_annuum,,,
Uniq68284,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq96471,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_parainfluenzae
Uniq88593,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_bifidum
Uniq37548,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
Uniq108334,Bacteria,Actinobacteria,,,,,
Uniq106011,Bacteria,Bacteroidetes,Bacteroidia,,,,
Uniq88316,Bacteria,,,,,,
Uniq96853,Bacteria,Firmicutes,Negativicutes,,,,
Uniq63875,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,,
Uniq82,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq79730,Bacteria,Proteobacteria,,,,,
Uniq19383,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,
Uniq27687,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,
Uniq100690,Bacteria,Firmicutes,Bacilli,,,,
Uniq114212,Bacteria,Proteobacteria,Gammaproteobacteria,,,,
Uniq65855,Bacteria,Firmicutes,,,,,
Uniq105125,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,
Uniq111553,Bacteria,Proteobacteria,,,,,
Uniq47063,Bacteria,Proteobacteria,,,,,
