OTU,Kingdom,Phylum,Class,Order,Family,Genus,Species
Uniq23,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_uniformis
Uniq40675,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq40675,unk_Order_of_Phylum_Proteobacteria__Uniq40675,unk_Family_of_Phylum_Proteobacteria__Uniq40675,unk_Genus_of_Phylum_Proteobacteria__Uniq40675,unk_Species_of_Phylum_Proteobacteria__Uniq40675
Uniq91648,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq91648,unk_Order_of_Phylum_Proteobacteria__Uniq91648,unk_Family_of_Phylum_Proteobacteria__Uniq91648,unk_Genus_of_Phylum_Proteobacteria__Uniq91648,unk_Species_of_Phylum_Proteobacteria__Uniq91648
Uniq88862,Bacteria,Bacteroidetes,unk_Class_of_Phylum_Bacteroidetes__Uniq88862,unk_Order_of_Phylum_Bacteroidetes__Uniq88862,unk_Family_of_Phylum_Bacteroidetes__Uniq88862,unk_Genus_of_Phylum_Bacteroidetes__Uniq88862,unk_Species_of_Phylum_Bacteroidetes__Uniq88862
Uniq53867,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,unk_Species_of_Genus_Legionella__Uniq53867
Uniq110033,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq110033,unk_Order_of_Phylum_Firmicutes__Uniq110033,unk_Family_of_Phylum_Firmicutes__Uniq110033,unk_Genus_of_Phylum_Firmicutes__Uniq110033,unk_Species_of_Phylum_Firmicutes__Uniq110033
Uniq42,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq68146,Bacteria,Firmicutes,Clostridia,unk_Order_of_Class_Clostridia__Uniq68146,unk_Family_of_Class_Clostridia__Uniq68146,unk_Genus_of_Class_Clostridia__Uniq68146,unk_Species_of_Class_Clostridia__Uniq68146
Uniq65334,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_FCS020_group,unk_Species_of_Genus_Lachnospiraceae_FCS020_group__Uniq65334
Uniq1276,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,Acidovorax
Uniq107064,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter_aegrifaciens
Uniq56345,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq56345
Uniq71637,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae_UCG-013,unk_Species_of_Genus_Ruminococcaceae_UCG-013__Uniq71637
Uniq112783,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,Ochrobactrum_anthropi
Uniq163,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Enterobacter
Uniq106966,Bacteria,Firmicutes,Negativicutes,unk_Order_of_Class_Negativicutes__Uniq106966,unk_Family_of_Class_Negativicutes__Uniq106966,unk_Genus_of_Class_Negativicutes__Uniq106966,unk_Species_of_Class_Negativicutes__Uniq106966
Uniq49429,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq49429
Uniq45988,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,Achromobacter_aegrifaciens
Uniq6215,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Citrobacter,Yokenella_regensburgei
Uniq38930,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces
Uniq71679,Bacteria,Firmicutes,Negativicutes,unk_Order_of_Class_Negativicutes__Uniq71679,unk_Family_of_Class_Negativicutes__Uniq71679,unk_Genus_of_Class_Negativicutes__Uniq71679,unk_Species_of_Class_Negativicutes__Uniq71679
Uniq108590,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq108590,unk_Order_of_Phylum_Actinobacteria__Uniq108590,unk_Family_of_Phylum_Actinobacteria__Uniq108590,unk_Genus_of_Phylum_Actinobacteria__Uniq108590,unk_Species_of_Phylum_Actinobacteria__Uniq108590
Uniq100911,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq100911,unk_Order_of_Phylum_Firmicutes__Uniq100911,unk_Family_of_Phylum_Firmicutes__Uniq100911,unk_Genus_of_Phylum_Firmicutes__Uniq100911,unk_Species_of_Phylum_Firmicutes__Uniq100911
Uniq89282,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,unk_Species_of_Genus_Prevotella__Uniq89282
Uniq1717,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,unk_Species_of_Genus_Alistipes__Uniq1717
Uniq95358,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus_epidermidis
Uniq18775,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingopyxis,unk_Species_of_Genus_Sphingopyxis__Uniq18775
Uniq92837,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unk_Species_of_Genus_Pseudomonas__Uniq92837
Uniq110390,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia_coli
Uniq3230,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,unk_Species_of_Genus_Corynebacterium_1__Uniq3230
Uniq63184,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq63184,unk_Order_of_Phylum_Proteobacteria__Uniq63184,unk_Family_of_Phylum_Proteobacteria__Uniq63184,unk_Genus_of_Phylum_Proteobacteria__Uniq63184,unk_Species_of_Phylum_Proteobacteria__Uniq63184
Uniq115023,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unk_Species_of_Genus_Enterococcus__Uniq115023
Uniq315,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,Rothia_mucilaginosa
Uniq42733,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unk_Species_of_Genus_Pseudomonas__Uniq42733
Uniq4289,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces_massiliensis
Uniq109357,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq109357
Uniq109102,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq109102,unk_Order_of_Phylum_Firmicutes__Uniq109102,unk_Family_of_Phylum_Firmicutes__Uniq109102,unk_Genus_of_Phylum_Firmicutes__Uniq109102,unk_Species_of_Phylum_Firmicutes__Uniq109102
Uniq763,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,unk_Species_of_Genus_Anaerostipes__Uniq763
Uniq20640,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq115329,Bacteria,Firmicutes,Bacilli,unk_Order_of_Class_Bacilli__Uniq115329,unk_Family_of_Class_Bacilli__Uniq115329,unk_Genus_of_Class_Bacilli__Uniq115329,unk_Species_of_Class_Bacilli__Uniq115329
Uniq1185,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium
Uniq98991,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia,Burkholderia
Uniq574,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq574
Uniq57780,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,unk_Species_of_Genus_Blautia__Uniq57780
Uniq23896,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella_timonensis
Uniq52340,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq52340,unk_Order_of_Phylum_Firmicutes__Uniq52340,unk_Family_of_Phylum_Firmicutes__Uniq52340,unk_Genus_of_Phylum_Firmicutes__Uniq52340,unk_Species_of_Phylum_Firmicutes__Uniq52340
Uniq86413,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq86413
Uniq94677,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_nucleatum
Uniq113269,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq113269
Uniq95614,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_fragilis
Uniq74692,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq74692
Uniq82629,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq32418,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Geobacillus,Geobacillus_stearothermophilus
Uniq68103,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq68103
Uniq96737,Bacteria,Bacteroidetes,Bacteroidia,unk_Order_of_Class_Bacteroidia__Uniq96737,unk_Family_of_Class_Bacteroidia__Uniq96737,unk_Genus_of_Class_Bacteroidia__Uniq96737,unk_Species_of_Class_Bacteroidia__Uniq96737
Uniq335,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,Campylobacter_concisus
Uniq56617,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unk_Species_of_Genus_Bacteroides__Uniq56617
Uniq110138,Bacteria,Proteobacteria,Gammaproteobacteria,unk_Order_of_Class_Gammaproteobacteria__Uniq110138,unk_Family_of_Class_Gammaproteobacteria__Uniq110138,unk_Genus_of_Class_Gammaproteobacteria__Uniq110138,unk_Species_of_Class_Gammaproteobacteria__Uniq110138
Uniq87185,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia_coli
Uniq48230,Bacteria,Proteobacteria,Gammaproteobacteria,unk_Order_of_Class_Gammaproteobacteria__Uniq48230,unk_Family_of_Class_Gammaproteobacteria__Uniq48230,unk_Genus_of_Class_Gammaproteobacteria__Uniq48230,unk_Species_of_Class_Gammaproteobacteria__Uniq48230
Uniq25863,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq93629,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq93629
Uniq227,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,unk_Species_of_Genus_Roseburia__Uniq227
Uniq3632,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,unk_Species_of_Genus_Bifidobacterium__Uniq3632
Uniq91839,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
Uniq96406,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq96406
Uniq112854,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq112854
Uniq16043,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,unk_Species_of_Genus_Klebsiella__Uniq16043
Uniq68309,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Pluralibacter,unk_Species_of_Genus_Pluralibacter__Uniq68309
Uniq25645,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,unk_Species_of_Genus_Pseudomonas__Uniq25645
Uniq73017,Bacteria,Proteobacteria,Gammaproteobacteria,unk_Order_of_Class_Gammaproteobacteria__Uniq73017,unk_Family_of_Class_Gammaproteobacteria__Uniq73017,unk_Genus_of_Class_Gammaproteobacteria__Uniq73017,unk_Species_of_Class_Gammaproteobacteria__Uniq73017
Uniq115300,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,unk_Species_of_Genus_Bacteroides__Uniq115300
Uniq12757,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq12757
Uniq56,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Parabacteroides,Parabacteroides_merdae
Uniq112271,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_bifidum
Uniq116569,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq116569,unk_Order_of_Phylum_Proteobacteria__Uniq116569,unk_Family_of_Phylum_Proteobacteria__Uniq116569,unk_Genus_of_Phylum_Proteobacteria__Uniq116569,unk_Species_of_Phylum_Proteobacteria__Uniq116569
Uniq1011,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,Megasphaera_micronuciformis
Uniq92743,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia,unk_Species_of_Genus_Burkholderia-Paraburkholderia__Uniq92743
Uniq66941,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq66941
Uniq101549,Bacteria,Firmicutes,Bacilli,unk_Order_of_Class_Bacilli__Uniq101549,unk_Family_of_Class_Bacilli__Uniq101549,unk_Genus_of_Class_Bacilli__Uniq101549,unk_Species_of_Class_Bacilli__Uniq101549
Uniq88652,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella_aerofaciens
Uniq34423,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_parainfluenzae
Uniq114758,Bacteria,Firmicutes,Bacilli,unk_Order_of_Class_Bacilli__Uniq114758,unk_Family_of_Class_Bacilli__Uniq114758,unk_Genus_of_Class_Bacilli__Uniq114758,unk_Species_of_Class_Bacilli__Uniq114758
Uniq6123,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiraceae_FCS020_group,unk_Species_of_Genus_Lachnospiraceae_FCS020_group__Uniq6123
Uniq96311,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Paraburkholderia,Burkholderia
Uniq48106,Bacteria,Proteobacteria,Gammaproteobacteria,unk_Order_of_Class_Gammaproteobacteria__Uniq48106,unk_Family_of_Class_Gammaproteobacteria__Uniq48106,unk_Genus_of_Class_Gammaproteobacteria__Uniq48106,unk_Species_of_Class_Gammaproteobacteria__Uniq48106
Uniq85081,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq85081,unk_Order_of_Phylum_Firmicutes__Uniq85081,unk_Family_of_Phylum_Firmicutes__Uniq85081,unk_Genus_of_Phylum_Firmicutes__Uniq85081,unk_Species_of_Phylum_Firmicutes__Uniq85081
Uniq90382,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia_coli
Uniq102367,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,unk_Species_of_Genus_Klebsiella__Uniq102367
Uniq94408,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq94408
Uniq73920,Bacteria,Bacteroidetes,unk_Class_of_Phylum_Bacteroidetes__Uniq73920,unk_Order_of_Phylum_Bacteroidetes__Uniq73920,unk_Family_of_Phylum_Bacteroidetes__Uniq73920,unk_Genus_of_Phylum_Bacteroidetes__Uniq73920,unk_Species_of_Phylum_Bacteroidetes__Uniq73920
Uniq89233,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,Escherichia_coli
Uniq9501,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Brevibacterium,unk_Species_of_Genus_Brevibacterium__Uniq9501
Uniq70499,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq70499,unk_Order_of_Phylum_Proteobacteria__Uniq70499,unk_Family_of_Phylum_Proteobacteria__Uniq70499,unk_Genus_of_Phylum_Proteobacteria__Uniq70499,unk_Species_of_Phylum_Proteobacteria__Uniq70499
Uniq37871,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq37871,unk_Order_of_Phylum_Proteobacteria__Uniq37871,unk_Family_of_Phylum_Proteobacteria__Uniq37871,unk_Genus_of_Phylum_Proteobacteria__Uniq37871,unk_Species_of_Phylum_Proteobacteria__Uniq37871
Uniq85008,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq85008
Uniq50492,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia-Shigella,unk_Species_of_Genus_Escherichia-Shigella__Uniq50492
Uniq31869,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus_fermentum
Uniq94493,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq94493
Uniq116,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus_parainfluenzae
Uniq91891,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq91891,unk_Order_of_Phylum_Proteobacteria__Uniq91891,unk_Family_of_Phylum_Proteobacteria__Uniq91891,unk_Genus_of_Phylum_Proteobacteria__Uniq91891,unk_Species_of_Phylum_Proteobacteria__Uniq91891
Uniq50185,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq50185,unk_Order_of_Phylum_Firmicutes__Uniq50185,unk_Family_of_Phylum_Firmicutes__Uniq50185,unk_Genus_of_Phylum_Firmicutes__Uniq50185,unk_Species_of_Phylum_Firmicutes__Uniq50185
Uniq99523,Bacteria,Proteobacteria,Betaproteobacteria,unk_Order_of_Class_Betaproteobacteria__Uniq99523,unk_Family_of_Class_Betaproteobacteria__Uniq99523,unk_Genus_of_Class_Betaproteobacteria__Uniq99523,unk_Species_of_Class_Betaproteobacteria__Uniq99523
Uniq103807,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq103807,unk_Order_of_Phylum_Actinobacteria__Uniq103807,unk_Family_of_Phylum_Actinobacteria__Uniq103807,unk_Genus_of_Phylum_Actinobacteria__Uniq103807,unk_Species_of_Phylum_Actinobacteria__Uniq103807
Uniq16535,Bacteria,Proteobacteria,unk_Class_of_Phylum_Proteobacteria__Uniq16535,unk_Order_of_Phylum_Proteobacteria__Uniq16535,unk_Family_of_Phylum_Proteobacteria__Uniq16535,unk_Genus_of_Phylum_Proteobacteria__Uniq16535,unk_Species_of_Phylum_Proteobacteria__Uniq16535
Uniq104669,Bacteria,Verrucomicrobia,unk_Class_of_Phylum_Verrucomicrobia__Uniq104669,unk_Order_of_Phylum_Verrucomicrobia__Uniq104669,unk_Family_of_Phylum_Verrucomicrobia__Uniq104669,unk_Genus_of_Phylum_Verrucomicrobia__Uniq104669,unk_Species_of_Phylum_Verrucomicrobia__Uniq104669
Uniq10099,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Allisonella,unk_Species_of_Genus_Allisonella__Uniq10099
Uniq110744,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unk_Species_of_Genus_Enterococcus__Uniq110744
Uniq102721,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,unk_Species_of_Genus_Bifidobacterium__Uniq102721
Uniq88841,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,Klebsiella_pneumoniae
Uniq87228,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq87228,unk_Order_of_Phylum_Firmicutes__Uniq87228,unk_Family_of_Phylum_Firmicutes__Uniq87228,unk_Genus_of_Phylum_Firmicutes__Uniq87228,unk_Species_of_Phylum_Firmicutes__Uniq87228
Uniq114521,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_bifidum
Uniq1662,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,unk_Species_of_Genus_Veillonella__Uniq1662
Uniq15215,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,unk_Species_of_Genus_Acinetobacter__Uniq15215
Uniq65341,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq65341,unk_Order_of_Phylum_Actinobacteria__Uniq65341,unk_Family_of_Phylum_Actinobacteria__Uniq65341,unk_Genus_of_Phylum_Actinobacteria__Uniq65341,unk_Species_of_Phylum_Actinobacteria__Uniq65341
Uniq27381,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium_nucleatum
Uniq52605,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,unk_Species_of_Genus_Clostridium_sensu_stricto_1__Uniq52605
Uniq113038,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto_1,unk_Species_of_Genus_Clostridium_sensu_stricto_1__Uniq113038
Uniq110203,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium_longum
Uniq113435,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,unk_Species_of_Genus_Enterococcus__Uniq113435
Uniq17521,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,unk_Species_of_Genus_Rothia__Uniq17521
Uniq27343,Bacteria,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,Globicatella_sanguinis
Uniq86356,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas
Uniq66507,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq66507
Uniq1425,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides_ovatus
Uniq74452,Bacteria,Actinobacteria,unk_Class_of_Phylum_Actinobacteria__Uniq74452,unk_Order_of_Phylum_Actinobacteria__Uniq74452,unk_Family_of_Phylum_Actinobacteria__Uniq74452,unk_Genus_of_Phylum_Actinobacteria__Uniq74452,unk_Species_of_Phylum_Actinobacteria__Uniq74452
Uniq23854,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces,Actinomyces
Uniq10489,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium,unk_Species_of_Genus_Clostridium__Uniq10489
Uniq42023,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Veillonella,Veillonella
Uniq97028,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Ruminococcus_gnavus_group,unk_Species_of_Genus_Ruminococcus_gnavus_group__Uniq97028
Uniq110211,Bacteria,Actinobacteria,Actinobacteria,unk_Order_of_Class_Actinobacteria__Uniq110211,unk_Family_of_Class_Actinobacteria__Uniq110211,unk_Genus_of_Class_Actinobacteria__Uniq110211,unk_Species_of_Class_Actinobacteria__Uniq110211
Uniq67340,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,unk_Species_of_Genus_Staphylococcus__Uniq67340
Uniq52602,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Veillonellaceae,Megasphaera,unk_Species_of_Genus_Megasphaera__Uniq52602
Uniq4154,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium_1,unk_Species_of_Genus_Corynebacterium_1__Uniq4154
Uniq94335,Bacteria,Firmicutes,unk_Class_of_Phylum_Firmicutes__Uniq94335,unk_Order_of_Phylum_Firmicutes__Uniq94335,unk_Family_of_Phylum_Firmicutes__Uniq94335,unk_Genus_of_Phylum_Firmicutes__Uniq94335,unk_Species_of_Phylum_Firmicutes__Uniq94335
